page,SpeedIndex,totalBytes,TTFB,renderStart,numConnections,numDomElements,numDomains,numRedirects,uses_cdn,bytesCss,reqCss,bytesJS,reqJS,bytesImg,reqImg,bytesFont,reqFont,bytesHtml,reqHtml,bytesJSON,reqJSON,reqTotal,gzipSavings,maxDomainReqs,maxage0,maxage1,maxage30,maxage365,maxageMore,maxageNull,num_long_tasks,TotalBlockingTime,EvaluateScript,FunctionCall,Layout,image_savings,renderBlockingCSS,renderBlockingJS,FirstContentfulPaint,FirstImagePaint,FirstMeaningfulPaint,FirstPaint,LargestContentfulPaint,layout_shifts_count,loadEventDuration,dclDuration,_responses_200,_responses_404,_responses_other,analytics,ads,marketing,fonts_scripts,tagman,chat,img_missing_width,img_missing_height,img_lazy_count,svg_count,is_lcp_preloaded,scripts_total,scripts_inline,scripts_async,scripts_defer
https://www.meuguru.com/,15499,71504492,530,100,41,689,31,10,true,38159,3,1343432,20,39122916,54,49392,2,39903,11,,,177,162190097,46,0,1,15,3,0,158,18,955,531,4849,636,7928046,1,0,1874,1874,1874,1864,,1,1,0,144,0,33,4,0,0,1,1,1,72,72,0,6,true,28,10,16,0
https://www.mewatch.sg/,18202,40172467,1069,100,260,11302,208,223,true,500132,8,9046490,147,26808018,817,40128,1,1070208,138,,,1371,7014520,676,0,44,8,685,0,634,43,2892,1462,3075,929,699230,6,3,3692,3692,3692,3620,,2,46,4,1101,0,270,7,11,1,1,2,0,702,702,0,0,,113,35,91,1
https://www.mexc.co/campaigns/storage-pulse?utm_source=mexc&utm_medium=webfloatingwindow,5519,16524313,563,100,36,1322,32,0,true,278493,18,8904713,113,6177079,69,0,0,48755,12,,,362,3350,130,0,7,1,2,0,352,31,2676,1451,2260,646,0,0,1,4480,4480,14197,4328,,7,2,1,346,0,16,3,1,0,0,0,0,8,8,0,0,,,,,
https://www.mexc.com/,10682,23741453,272,100,44,3614,38,1,true,372710,37,7999079,114,1386184,91,62792,2,178628,15,,,467,3350,161,0,9,16,4,0,438,141,13018,1328,14699,1139,3689,0,1,1601,1601,19996,1556,,22,2,1,438,0,29,3,1,0,0,0,0,48,48,0,9,,,,,
https://www.mg.gov.br/,5169,1842525,878,100,11,1159,5,5,false,306210,2,754553,11,282277,37,457376,7,42109,2,,,60,430993,49,0,1,0,48,0,11,2,137,51,80,222,30270,2,2,4860,4860,4860,4756,,24,8,72,54,0,6,1,0,0,0,0,0,2,2,1,11,false,14,4,2,1
https://www.mgeko.cc/,7324,4440185,251,100,86,292,76,79,true,71602,14,799132,21,2947680,24,386664,6,38876,62,,,257,18190,22,0,4,4,40,0,209,7,799,566,387,580,113065,10,1,982,982,982,916,,43,0,1,127,0,130,2,2,0,2,0,0,19,19,5,1,false,21,6,7,2
https://www.mgen.fr/aide-et-contact,7791,5787503,1026,100,19,414,11,1,true,516938,6,3488774,42,1591962,16,86968,2,90326,4,,,76,3867894,28,0,4,1,1,0,70,2,34,67,69,181,0,3,3,2151,2151,2151,2012,,21,1,17,72,0,4,1,0,0,0,1,0,7,7,0,0,false,11,3,6,0
https://www.mgm.gov.tr/,8060,6506263,1496,200,13,919,7,11,false,78157,8,839042,14,5013669,47,140084,4,369608,4,,,100,717852,66,0,2,0,3,0,95,4,259,104,210,202,225629,8,5,7092,7092,7307,6924,,32,0,150,83,0,17,1,0,0,0,0,0,37,34,0,11,false,21,7,1,0
https://www.mgm.gov.tr/site/bakan.aspx,6631,4147857,1060,100,9,399,6,10,false,38480,6,268409,3,3632699,27,140084,4,9380,1,,,53,251402,30,0,2,0,3,0,48,2,98,68,34,143,1512996,6,2,3122,3211,3211,3024,,24,0,17,43,0,10,1,0,0,0,0,0,8,5,0,5,false,7,4,1,0
https://www.mhada.gov.in/,7093,5250451,3018,100,22,1738,15,1,false,122033,13,864603,22,3803440,43,203492,5,31779,4,,,98,279179,46,0,4,0,25,0,69,7,739,56,163,995,1617247,11,1,4202,4202,4202,4116,,47,3,129,93,1,4,1,0,0,2,0,0,38,38,2,1,false,23,14,3,1
